clientId,transaction,amount,date,status
clt_2,D,2332.80,2026-01-01,Completed
clt_3,D,743.19,2026-01-01,Completed
clt_5,W,1428.49,2026-01-02,Completed
clt_9,D,6397.48,2026-01-02,Completed
clt_3,W,125.70,2026-01-03,Pending
clt_18,D,7603.28,2026-01-04,Completed
clt_5,D,108.37,2026-01-04,Completed
clt_6,W,1058.91,2026-01-04,Pending
clt_10,D,1953.48,2026-01-05,Completed
clt_16,W,1329.33,2026-01-05,Completed
clt_4,D,71.88,2026-01-05,Completed
clt_10,D,1404.55,2026-01-06,Completed
clt_19,D,1819.34,2026-01-07,Completed
clt_4,D,1167.88,2026-01-07,Completed
clt_19,D,2164.65,2026-01-11,Completed
clt_8,D,247.72,2026-01-12,Completed
clt_14,W,1022.62,2026-01-13,Completed
clt_4,W,630.26,2026-01-14,Completed
clt_8,W,492.21,2026-01-14,Completed
clt_8,W,4354.39,2026-01-16,Failed
clt_19,D,573.24,2026-01-20,Failed
clt_14,W,1077.25,2026-01-21,Completed
clt_10,D,3002.53,2026-01-22,Completed
clt_7,W,1060.77,2026-01-22,Completed
clt_8,D,1598.85,2026-01-22,Completed
clt_15,D,2234.34,2026-01-23,Completed
clt_16,W,375.03,2026-01-23,Completed
clt_18,D,6594.16,2026-01-23,Completed
clt_1,D,349.98,2026-01-24,Completed
clt_20,D,191.42,2026-01-25,Completed
clt_11,D,953.91,2026-01-27,Completed
clt_16,D,476.68,2026-01-27,Completed
clt_17,W,2318.41,2026-01-28,Completed
clt_19,W,481.47,2026-01-28,Failed
clt_9,D,224.31,2026-01-28,Completed
clt_1,W,130.06,2026-01-29,Completed
clt_15,W,626.87,2026-01-29,Completed
clt_20,D,1698.30,2026-01-29,Completed
clt_1,D,406.53,2026-01-30,Completed
clt_19,W,300.97,2026-01-30,Completed
clt_5,W,62.84,2026-01-30,Completed
clt_6,D,3600.42,2026-01-30,Completed
clt_17,W,851.18,2026-02-02,Pending
clt_20,D,3845.35,2026-02-03,Completed
clt_20,D,7544.46,2026-02-06,Completed
clt_7,W,2114.06,2026-02-09,Completed
clt_18,W,20.74,2026-02-10,Completed
clt_10,W,2716.67,2026-02-11,Pending
clt_11,D,537.88,2026-02-11,Completed
clt_19,D,688.83,2026-02-11,Completed
clt_17,D,90.96,2026-02-13,Completed
clt_19,W,755.84,2026-02-13,Completed
clt_2,D,1308.49,2026-02-13,Completed
clt_9,D,3238.86,2026-02-14,Completed
clt_17,D,1222.07,2026-02-15,Completed
clt_3,W,1818.39,2026-02-15,Pending
clt_15,W,104.36,2026-02-16,Completed
clt_17,W,2221.54,2026-02-16,Completed
clt_17,W,742.32,2026-02-16,Completed
clt_9,W,415.65,2026-02-16,Completed
clt_1,D,1871.05,2026-02-17,Completed
clt_10,D,533.00,2026-02-18,Completed
clt_4,D,2460.98,2026-02-19,Completed
clt_11,D,1722.93,2026-02-20,Completed
clt_13,W,426.53,2026-02-20,Pending
clt_18,W,59.35,2026-02-22,Pending
clt_9,W,440.37,2026-02-22,Completed
clt_1,W,560.47,2026-02-23,Completed
clt_5,D,1294.05,2026-02-23,Completed
clt_15,D,31.00,2026-02-24,Completed
clt_18,D,4645.03,2026-02-24,Completed
clt_2,W,949.00,2026-02-24,Completed
clt_6,D,4155.37,2026-02-24,Completed
clt_12,W,1440.57,2026-02-25,Completed
clt_20,W,331.30,2026-02-25,Completed
clt_20,W,794.11,2026-02-26,Completed
clt_8,W,562.99,2026-02-26,Pending
clt_10,W,174.75,2026-02-27,Failed
clt_13,D,2101.13,2026-03-02,Completed
clt_3,D,819.55,2026-03-02,Completed
clt_15,D,79.28,2026-03-03,Completed
clt_17,D,115.88,2026-03-03,Completed
clt_2,D,8670.46,2026-03-03,Completed
clt_3,D,3971.87,2026-03-04,Completed
clt_3,D,1539.11,2026-03-05,Completed
clt_8,D,520.63,2026-03-05,Completed
clt_13,D,110.70,2026-03-06,Completed
clt_17,D,566.67,2026-03-06,Completed
clt_11,W,969.71,2026-03-07,Failed
clt_7,D,630.78,2026-03-07,Pending
clt_16,D,2361.09,2026-03-09,Completed
clt_20,D,536.31,2026-03-09,Completed
clt_10,D,2604.37,2026-03-10,Completed
clt_16,D,808.34,2026-03-10,Completed
clt_5,D,401.56,2026-03-12,Completed
clt_4,W,1164.46,2026-03-13,Completed
clt_19,D,2485.83,2026-03-15,Completed
clt_5,W,1.65,2026-03-16,Completed
clt_1,D,1954.68,2026-03-17,Completed
clt_11,W,21.99,2026-03-18,Completed
clt_2,W,3434.60,2026-03-18,Completed
clt_1,D,5516.73,2026-03-20,Completed
clt_7,W,281.49,2026-03-20,Completed
clt_12,D,547.84,2026-03-21,Pending
clt_13,D,490.54,2026-03-21,Completed
clt_3,W,48.05,2026-03-21,Completed
clt_8,W,6977.63,2026-03-22,Completed
clt_12,D,225.40,2026-03-23,Completed
clt_14,D,4273.74,2026-03-23,Completed
clt_16,W,960.45,2026-03-23,Completed
clt_5,D,398.28,2026-03-23,Completed
clt_16,W,2079.45,2026-03-24,Completed
clt_5,D,2030.01,2026-03-25,Pending
clt_5,W,538.19,2026-03-25,Completed
clt_6,D,7735.31,2026-03-25,Completed
clt_12,W,1186.61,2026-03-26,Pending
clt_2,D,1287.04,2026-03-27,Completed
clt_12,D,435.15,2026-03-28,Pending
clt_4,W,667.23,2026-03-28,Completed
clt_12,D,322.61,2026-03-30,Completed
