clientId,transaction,amount,date,status
clt_1,W,375.57,2026-01-01,Failed
clt_15,D,3584.94,2026-01-01,Completed
clt_16,D,1244.54,2026-01-01,Completed
clt_18,D,1681.29,2026-01-01,Completed
clt_2,D,2332.80,2026-01-01,Completed
clt_3,D,467.71,2026-01-01,Pending
clt_3,D,743.19,2026-01-01,Completed
clt_4,D,14.61,2026-01-01,Completed
clt_7,D,354.88,2026-01-01,Completed
clt_1,D,3828.65,2026-01-02,Completed
clt_10,W,582.76,2026-01-02,Completed
clt_13,W,633.43,2026-01-02,Pending
clt_19,D,1800.58,2026-01-02,Completed
clt_3,D,5873.73,2026-01-02,Completed
clt_4,D,5415.64,2026-01-02,Completed
clt_5,W,1428.49,2026-01-02,Completed
clt_6,D,1502.98,2026-01-02,Failed
clt_8,W,1026.60,2026-01-02,Completed
clt_9,D,6397.48,2026-01-02,Completed
clt_13,D,27.56,2026-01-03,Completed
clt_14,W,214.96,2026-01-03,Completed
clt_16,D,886.77,2026-01-03,Completed
clt_16,W,181.36,2026-01-03,Completed
clt_17,D,1006.17,2026-01-03,Completed
clt_20,D,4826.28,2026-01-03,Completed
clt_3,W,125.70,2026-01-03,Pending
clt_4,D,2479.83,2026-01-03,Completed
clt_8,D,96.84,2026-01-03,Completed
clt_12,W,446.60,2026-01-04,Completed
clt_14,D,753.65,2026-01-04,Pending
clt_16,W,56.83,2026-01-04,Completed
clt_18,D,7603.28,2026-01-04,Completed
clt_19,W,658.70,2026-01-04,Completed
clt_20,W,25.15,2026-01-04,Completed
clt_4,D,208.36,2026-01-04,Completed
clt_4,D,2127.05,2026-01-04,Completed
clt_5,D,108.37,2026-01-04,Completed
clt_6,W,1058.91,2026-01-04,Pending
clt_1,D,4299.75,2026-01-05,Completed
clt_10,D,1953.48,2026-01-05,Completed
clt_14,W,955.49,2026-01-05,Completed
clt_16,D,8833.10,2026-01-05,Completed
clt_16,W,1329.33,2026-01-05,Completed
clt_17,D,4338.05,2026-01-05,Completed
clt_20,W,2369.30,2026-01-05,Completed
clt_4,D,71.88,2026-01-05,Completed
clt_5,W,5337.99,2026-01-05,Completed
clt_7,D,464.26,2026-01-05,Completed
clt_7,W,275.52,2026-01-05,Completed
clt_8,D,3672.12,2026-01-05,Completed
clt_8,W,75.20,2026-01-05,Completed
clt_1,D,1829.01,2026-01-06,Completed
clt_1,W,3527.28,2026-01-06,Completed
clt_10,D,1404.55,2026-01-06,Completed
clt_14,D,2231.36,2026-01-06,Completed
clt_15,D,303.27,2026-01-06,Completed
clt_15,W,399.34,2026-01-06,Completed
clt_15,W,455.46,2026-01-06,Completed
clt_16,W,4978.25,2026-01-06,Completed
clt_17,D,2268.91,2026-01-06,Completed
clt_18,W,597.53,2026-01-06,Completed
clt_2,D,3244.79,2026-01-06,Completed
clt_20,W,387.97,2026-01-06,Completed
clt_5,D,3539.99,2026-01-06,Pending
clt_5,W,241.58,2026-01-06,Completed
clt_6,W,994.48,2026-01-06,Completed
clt_8,D,2585.68,2026-01-06,Pending
clt_1,W,884.78,2026-01-07,Completed
